Date,Adj Close
2/1/2021,109.718681
2/2/2021,108.71743
2/3/2021,108.426163
2/4/2021,110.155594
2/5/2021,110.856468
2/8/2021,112.513084
2/9/2021,112.623764
2/10/2021,112.752899
2/11/2021,111.526123
2/12/2021,111.42466
2/16/2021,110.75132
2/17/2021,110.659081
2/18/2021,111.360085
2/19/2021,109.755135
2/22/2021,111.480003
2/23/2021,111.341644
2/24/2021,113.647621
2/25/2021,112.965057
2/26/2021,109.699791
3/1/2021,111.369316
3/2/2021,110.991135
3/3/2021,112.863586
3/4/2021,110.788216
3/5/2021,113.297112
3/8/2021,115.123444
3/9/2021,114.542336
3/10/2021,117.945953
3/11/2021,117.272614
3/12/2021,117.706131
3/15/2021,118.600845
3/16/2021,118.287231
3/17/2021,119.01593
3/18/2021,119.965996
3/19/2021,118.896019
3/22/2021,120.417953
3/23/2021,120.334938
3/24/2021,120.482521
3/25/2021,122.742386
3/26/2021,125.795494
3/29/2021,125.315857
3/30/2021,124.26432
3/31/2021,122.917641
4/1/2021,122.889961
4/5/2021,125.380409
4/6/2021,123.803123
4/7/2021,124.458023
4/8/2021,124.633286
4/9/2021,125.195946
4/12/2021,124.144409
4/13/2021,120.999062
4/14/2021,122.336533
4/15/2021,122.290405
4/16/2021,123.222023
4/19/2021,122.788498
4/20/2021,127.437347
4/21/2021,132.409012
4/22/2021,130.315201
4/23/2021,131.375961
4/26/2021,130.582672
4/27/2021,130.988541
4/28/2021,131.901718
4/29/2021,133.045471
4/30/2021,130.868622
5/3/2021,133.5159
5/4/2021,134.438293
5/5/2021,133.949402
5/6/2021,136.901077
5/7/2021,135.669891
5/10/2021,136.332108
5/11/2021,134.513367
5/12/2021,131.789902
5/13/2021,134.466736
5/14/2021,134.942413
5/17/2021,135.34346
5/18/2021,134.224243
5/19/2021,133.552689
5/20/2021,134.196243
5/21/2021,134.998367
5/24/2021,134.979706
5/25/2021,134.112305
5/26/2021,133.729904
5/27/2021,134.140289
5/28/2021,134.065659
6/1/2021,134.485382
6/2/2021,135.912399
6/3/2021,135.753845
6/4/2021,137.498001
6/7/2021,138.057602
6/8/2021,139.036942
6/9/2021,140.529251
6/10/2021,140.408005
6/11/2021,141.09819
6/14/2021,139.932327
6/15/2021,139.307404
6/16/2021,137.880386
6/17/2021,135.800476
6/18/2021,133.487396
6/21/2021,136.779816
6/22/2021,136.509338
6/23/2021,134.877106
6/24/2021,135.65126
6/25/2021,136.957031
6/28/2021,135.511353
6/29/2021,135.753845
6/30/2021,136.723862
7/1/2021,136.957031
7/2/2021,130.596054
7/6/2021,129.439499
7/7/2021,130.4095
7/8/2021,131.267578
7/9/2021,131.995087
7/12/2021,131.435471
7/13/2021,130.838547
7/14/2021,130.4095
7/15/2021,130.997101
7/16/2021,129.551407
7/19/2021,128.63739
7/20/2021,130.549393
7/21/2021,131.789902
7/22/2021,131.239609
7/23/2021,131.827194
7/26/2021,133.160965
7/27/2021,133.142303
7/28/2021,132.228256
7/29/2021,132.377502
7/30/2021,131.472778
8/2/2021,131.90181
8/3/2021,134.373459
8/4/2021,133.151642
8/5/2021,133.160965
8/6/2021,134.392105
8/9/2021,133.259995
8/10/2021,133.382645
8/11/2021,134.090225
8/12/2021,134.977036
8/13/2021,135.080826
8/16/2021,135.467621
8/17/2021,134.363815
8/18/2021,131.580688
8/19/2021,130.212708
8/20/2021,131.241058
8/23/2021,131.722198
8/24/2021,131.929749
8/25/2021,131.948624
8/26/2021,130.929718
8/27/2021,131.524078
8/30/2021,131.108963
8/31/2021,132.401474
9/1/2021,131.420303
9/2/2021,132.090134
9/3/2021,131.684464
9/7/2021,130.250443
9/8/2021,130.825943
9/9/2021,129.948547
9/10/2021,129.269272
9/13/2021,130.335358
9/14/2021,128.514526
9/15/2021,129.439087
9/16/2021,128.712646
9/17/2021,127.580536
9/20/2021,126.71257
9/21/2021,125.448364
9/22/2021,127.014465
9/23/2021,128.995667
9/24/2021,129.712677
9/27/2021,130.722153
9/28/2021,129.693817
9/29/2021,131.307098
9/30/2021,131.071228
10/1/2021,135.212906
10/4/2021,135.958206
10/5/2021,135.052521
10/6/2021,134.307205
10/7/2021,133.788315
10/8/2021,135.118561
10/11/2021,134.373245
10/12/2021,132.524109
10/13/2021,132.797714
10/14/2021,135.278946
10/15/2021,136.429932
10/18/2021,134.26947
10/19/2021,133.948715
10/20/2021,133.87323
10/21/2021,121.070831
10/22/2021,120.646286
10/25/2021,120.419868
10/26/2021,119.938713
10/27/2021,118.089584
10/28/2021,118.72168
10/29/2021,118.023544
11/1/2021,119.136795
11/2/2021,119.04245
11/3/2021,119.938713
11/4/2021,119.258591
11/5/2021,121.982246
11/8/2021,122.900002
11/9/2021,120.849998
11/10/2021,120.220001
11/11/2021,120.269997
11/12/2021,118.959999
11/15/2021,118.870003
11/16/2021,118.459999
11/17/2021,118.059998
11/18/2021,116.660004
11/19/2021,116.050003
11/22/2021,116.470001
11/23/2021,116.790001
11/24/2021,116.730003
11/26/2021,115.809998
11/29/2021,118.5
11/30/2021,117.099998
12/1/2021,116.919998
12/2/2021,116.900002
12/3/2021,118.839996
12/6/2021,119.910004
12/7/2021,121.580002
12/8/2021,123.019997
12/9/2021,123.57
12/10/2021,124.089996
12/13/2021,122.580002
12/14/2021,123.760002
12/15/2021,123.110001
12/16/2021,125.93
12/17/2021,127.400002
12/20/2021,127.059998
12/21/2021,128.970001
12/22/2021,129.75
12/23/2021,130.630005
12/27/2021,131.619995
12/28/2021,132.630005
12/29/2021,133.350006
12/30/2021,133.910004
12/31/2021,133.660004
1/3/2022,136.039993
1/4/2022,138.020004
1/5/2022,138.220001
1/6/2022,135.339996
1/7/2022,134.830002
1/10/2022,135.029999
1/11/2022,132.869995
1/12/2022,133.589996
1/13/2022,134.759995
1/14/2022,134.210007
1/18/2022,132.940002
1/19/2022,131.580002
1/20/2022,130.820007
1/21/2022,129.350006
1/24/2022,128.820007
1/25/2022,136.100006
1/26/2022,134.259995
1/27/2022,132.520004
1/28/2022,134.5
